SIC	Description
0111	Wheat Farming
0112	Rice Farming
0115	Corn Farming
0116	Soybean Farming
0119	Dry Pea and Bean Farming
0119	All Other Grain Farming
0119	Oilseed (Except Soybean) Farming
0119	Oilseed and Grain Combination Farming
0131	Cotton Farming
0132	Tobacco Farming
0133	Sugar Beet Farming
0133	Sugarcane Farming
0134	Potato Farming
0139	All Other Misc. Crop Farming
0139	Hay Farming
0139	Peanut Farming
0161	Other Vegetable (Except Potato) and Melon Farming
0171	Berry (Except Strawberry) Farming
0171	Strawberry Farming
0172	Grape Vineyards
0173	Tree Nut Farming
0174	Citrus (Except Orange) Groves
0174	Orange Groves
0175	Apple Orchards
0175	Other Noncitrus Fruit Farming
0179	Fruit and Tree Nut Combination Farming
0181	Nursery and Tree Production
0181	Floriculture Production
0182	Mushroom Production
0182	Other Food Crops Grown under Cover
0191	All Other Misc. Crop Farming
0211	Cattle Feedlots
0212	Support Activities for Animal Production
0212	Beef Cattle Ranching and Farming
0213	Hog and Pig Farming
0214	Goat Farming
0214	Sheep Farming
0219	Animal Production NOC
0241	Dairy Cattle and Milk Production
0251	Broilers and Other Meat Type Chicken Production
0252	Chicken Egg Production
0253	Turkey Production
0254	Poultry Hatcheries
0259	Other Poultry Production
0271	Fur-Bearing Animal and Rabbit Production
0272	Horses and Other Equine Production
0272	Support Activities for Animal Production
0279	Apiculture
0279	Other Aquaculture
0721	"Soil Preparation, Planting, and Cultivating"
0722	"Crop Harvesting, Primarily by Machine"
0723	Postharvest Crop Activities (Except Cotton Ginning)
0724	Cotton Ginning
0741	Veterinary Services
0742	Veterinary Services
0752	Pet Care (Except Veterinary) Services
0761	Farm Labor Contractors and Crew Leaders
0762	Farm Management Services
0781	Landscape Architectural Services
0782	Landscaping Services
0783	Landscaping Services
0811	Timber Tract Operations
0831	Forest Nurseries and Gathering of Forest Products
0851	Support Activities for Forestry
0912	Finfish Fishing
0913	Shellfish Fishing
0919	Other Marine Fishing
0921	Finfish Farming and Fish Hatcheries
0921	Shellfish Farming
0971	Hunting and Trapping
1011	Iron Ore Mining
1021	Copper Ore and Nickel Ore Mining
1031	Lead Ore and Zinc Ore Mining
1041	Gold Ore Mining
1044	Silver Ore Mining
1081	Dredging: Gold--Endless Bucket or Ladder Type
1081	Site Preparation Contractors
1094	"Uranium, Radium, Vanadium Ore Mining"
1099	All Other Metal Ore Mining
1221	Bituminous Coal and Lignite Surface Mining
1222	Bituminous Coal Underground Mining
1231	Anthracite Mining
1241	Support Activities for Coal Mining
1311	Natural Gas Liquid Extraction
1311	Crude Petroleum and Natural Gas Extraction
1321	Natural Gas Liquid Extraction
1381	Drilling Oil and Gas Wells
1381	Support Activities for Oil and Gas Operations
1382	Geophysical Surveying and Mapping Services
1382	Support Activities for Oil and Gas Operations
1389	Support Activities for Oil and Gas Operations
1389	Natural Gas Liquid Extraction
1411	Dimension Stone Mining and Quarrying
1422	Crushed and Broken Limestone Mining and Quarrying
1423	Crushed and Broken Granite Mining and Quarrying
1429	Other Crushed and Broken Stone Mining and Quarrying
1442	Construction Sand and Gravel Mining
1446	Industrial Sand Mining
1459	Clay and Ceramic and Refractory Minerals Mining
1474	"Potash, Soda, and Borate Mineral Mining"
1475	Phosphate Rock Mining
1481	Support Activities for Nonmetallic Minerals (Except Fuels) Mining
1499	All Other Nonmetallic Mineral Mining
1521	Residential Remodelers
1521	New Single-Family Housing Construction (Except For-Sale Builders)
1522	New Multifamily Housing Construction (Except For-Sale Builders)
1531	New Housing For-Sale Builders
1611	Poured Concrete Foundation and Structure Contractors
1611	"Highway, Street, and Bridge Construction"
1611	Site Preparation Contractors
1622	"Highway, Street, and Bridge Construction"
1622	Other Heavy and Civil Engineering Construction
1623	Power and Communication Line and Related Structures Construction
1623	"Highway, Street, and Bridge Construction"
1623	Oil and Gas Pipeline and Related Structures Construction
1623	Water and Sewer Line and Related Structures Construction
1629	Site Preparation Contractors
1629	Other Heavy and Civil Engineering Construction
1629	Poured Concrete Foundation and Structure Contractors
1629	Other Building Equipment Contractors
1629	Water and Sewer Line and Related Structures Construction
1629	Power and Communication Line and Related Structures Construction
1711	"Plumbing, Heating, and Air Conditioning Contractors"
1721	"Highway, Street, and Bridge Construction"
1721	Painting and Wall Covering Contractors
1731	Electrical Contractors and Other Wiring Installation Contractors
1731	Security Systems Services (Except Locksmiths)
1741	Masonry Contractors
1742	Drywall and Insulation Contractors
1743	Tile and Terrazzo Contractors
1751	Framing Contractors
1751	Finish Carpentry Contractors
1752	Flooring Contractors
1761	Siding Contractors
1761	Other Building Finishing Contractors
1761	"Other Foundation, Structure, and Building Exterior Contractors"
1761	Roofing Contractors
1771	Masonry Contractors
1771	Poured Concrete Foundation and Structure Contractors
1771	All Other Specialty Trade Contractors
1771	Structural Steel and Precast Concrete Contractors
1781	Water and Sewer Line and Related Structures Construction
1791	Structural Steel and Precast Concrete Contractors
1791	"Other Foundation, Structure, and Building Exterior Contractors"
1793	Glass and Glazing Contractors
1794	Site Preparation Contractors
1794	Structural Steel and Precast Concrete Contractors
1795	Site Preparation Contractors
1796	Other Building Equipment Contractors
1796	Other Building Finishing Contractors
1796	All Other Specialty Trade Contractors
1796	Building Equipment Contractors
1796	"Other Foundation, Structure, and Building Exterior Contractors"
1799	Other Building Finishing Contractors
1799	Other Heavy and Civil Engineering Construction
1799	"Other Foundation, Structure, and Building Exterior Contractors"
1799	All Other Specialty Trade Contractors
1799	Commercial and Institutional Building Construction
1799	Remediation Services
2011	Animal (Except Poultry) Slaughtering
2013	Meat Processed from Carcasses
2015	Poultry Processing
2021	Creamery Butter Mfg.
2022	Cheese Mfg.
2023	"Dry, Condensed, and Evaporated Dairy Product Mfg."
2024	Ice Cream and Frozen Dessert Mfg.
2026	Fluid Milk Mfg.
2032	All Other Misc. Food Mfg.
2032	Specialty Canning
2032	Seafood Product Preparation and Packaging
2033	Fruit and Vegetable Canning
2034	Dried and Dehydrated Food Mfg.
2034	"Frozen Fruit, Juice, and Vegetable Mfg."
2035	Fruit and Vegetable Canning
2037	"Frozen Fruit, Juice, and Vegetable Mfg."
2038	Frozen Specialty Food Mfg.
2041	Flour Milling
2043	Breakfast Cereal Mfg.
2044	Rice Milling
2045	"Dry Pasta, Dough, and Flour Mixes Mfg. from Purchased Flour"
2046	Wet Corn Milling
2047	Dog and Cat Food Mfg.
2048	Other Animal Food Mfg.
2051	Commercial Bakeries
2051	"Frozen Cakes, Pies, and Other Pastries Mfg."
2052	Cookie and Cracker Mfg.
2061	Cane Sugar Mfg.
2062	Cane Sugar Mfg.
2063	Beet Sugar Mfg.
2064	Nonchocolate Confectionery Mfg.
2066	Chocolate and Confectionery Mfg. from Cacao Beans
2066	Confectionery Mfg. from Purchased Chocolate
2067	Nonchocolate Confectionery Mfg.
2068	Roasted Nuts and Peanut Butter Mfg.
2074	Soybean and Other Oilseed Processing
2075	Soybean and Other Oilseed Processing
2076	Soybean and Other Oilseed Processing
2077	Rendering and Meat Byproduct Processing
2079	Fats and Oils Refining and Blending
2082	Breweries
2083	Malt Mfg.
2084	Wineries
2085	Distilleries
2086	Soft Drink Mfg.
2086	Bottled Water Mfg.
2087	Flavoring Syrup and Concentrate Mfg.
2087	Spice and Extract Mfg.
2087	All Other Misc. Food Mfg.
2091	Seafood Product Preparation and Packaging
2092	Seafood Product Preparation and Packaging
